Месяц,Период,к пролонгации первый месяц,пролонгировано в первый месяц,Коэффицент в первый месяц,к пролонгации через месяц,пролонгировано через месяц,Коэффицент через месяц
202302,февраль 2023,663820.5,137155.0,0.20661458933552068,0.0,0.0,0.0
202303,март 2023,851161.02,498867.64999999997,0.5861025567171767,502735.5,122999.08,0.24465962717969986
202304,апрель 2023,1628308.0,445930.35,0.2738611798259297,367070.0,17740.0,0.04832865665949274
202305,май 2023,1327728.5,567749.75,0.4276098238457636,1235815.9,0.0,0.0
202306,июнь 2023,878143.53,104768.0,0.11930623687451185,965218.5,38632.5,0.04002461618794086
202307,июль 2023,1082046.1,415030.0,0.3835603677144624,773375.53,108285.0,0.140016066968139
202308,август 2023,1222393.33,424548.88,0.34730955215536063,784901.1,0.0,0.0
202309,сентябрь 2023,1983969.01,795900.4199999999,0.4011657520799682,639777.13,0.0,0.0
202310,октябрь 2023,1598692.58,1368944.55,0.8562900504611086,1178056.37,82020.0,0.06962315394126682
202311,ноябрь 2023,1075209.97,719019.0,0.6687242678748598,437211.51,0.0,0.0
202312,декабрь 2023,1051953.06,159442.52000000002,0.15156809373224317,332502.5,114440.0,0.3441778633243359
